code,name,sido,sigungu,eupmyeondong,ri,status,level,parent_code,sido_abbr,sido_en,name_en
4119610800,경기도 부천시 오정구 내동,경기도,부천시 오정구,내동,,존재,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Nae-dong
4119700000,경기도 부천시 소사구,경기도,부천시 소사구,,,폐지,2,4119000000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu
4119700100,경기도 부천시 소사구 소사동,경기도,부천시 소사구,소사동,,폐지,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Sosa-dong
4119710100,경기도 부천시 소사구 소사본동,경기도,부천시 소사구,소사본동,,폐지,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Sosabon-dong
4119710200,경기도 부천시 소사구 심곡본동,경기도,부천시 소사구,심곡본동,,폐지,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Simgokbon-dong
4119710300,경기도 부천시 소사구 범박동,경기도,부천시 소사구,범박동,,폐지,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Beombak-dong
4119710400,경기도 부천시 소사구 괴안동,경기도,부천시 소사구,괴안동,,폐지,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Goean-dong
4119710500,경기도 부천시 소사구 송내동,경기도,부천시 소사구,송내동,,폐지,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Songnae-dong
4119710600,경기도 부천시 소사구 옥길동,경기도,부천시 소사구,옥길동,,폐지,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Okgil-dong
4119710700,경기도 부천시 소사구 계수동,경기도,부천시 소사구,계수동,,폐지,3,4119700000,경기,Gyeonggi,Gyeonggi Bucheon-si-Sosa-gu Gyesu-dong
4119900000,경기도 부천시 오정구,경기도,부천시 오정구,,,폐지,2,4119000000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu
4119910100,경기도 부천시 오정구 오정동,경기도,부천시 오정구,오정동,,폐지,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Ojeong-dong
4119910200,경기도 부천시 오정구 여월동,경기도,부천시 오정구,여월동,,폐지,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Yeowol-dong
4119910300,경기도 부천시 오정구 작동,경기도,부천시 오정구,작동,,폐지,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Jak-dong
4119910400,경기도 부천시 오정구 원종동,경기도,부천시 오정구,원종동,,폐지,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Wonjong-dong
4119910500,경기도 부천시 오정구 고강동,경기도,부천시 오정구,고강동,,폐지,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Gogang-dong
4119910600,경기도 부천시 오정구 대장동,경기도,부천시 오정구,대장동,,폐지,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Daejang-dong
4119910700,경기도 부천시 오정구 삼정동,경기도,부천시 오정구,삼정동,,폐지,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Samjeong-dong
4119910800,경기도 부천시 오정구 내동,경기도,부천시 오정구,내동,,폐지,3,4119900000,경기,Gyeonggi,Gyeonggi Bucheon-si-Ojeong-gu Nae-dong
4121000000,경기도 광명시,경기도,광명시,,,존재,2,4100000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si
4121010100,경기도 광명시 광명동,경기도,광명시,광명동,,존재,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Gwangmyeong-dong
4121010200,경기도 광명시 철산동,경기도,광명시,철산동,,존재,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Cheolsan-dong
4121010300,경기도 광명시 하안동,경기도,광명시,하안동,,존재,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Haan-dong
4121010400,경기도 광명시 소하동,경기도,광명시,소하동,,존재,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Soha-dong
4121010500,경기도 광명시 노온사동,경기도,광명시,노온사동,,존재,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Noonsa-dong
4121010600,경기도 광명시 일직동,경기도,광명시,일직동,,존재,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Iljik-dong
4121010700,경기도 광명시 가학동,경기도,광명시,가학동,,존재,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Gahak-dong
4121010800,경기도 광명시 옥길동,경기도,광명시,옥길동,,존재,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Okgil-dong
4121090100,경기도 광명시 광명1동,경기도,광명시,광명1동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Gwangmyeong1-dong
4121090200,경기도 광명시 광명2동,경기도,광명시,광명2동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Gwangmyeong2-dong
